Territory                            First Exchange (UTC)  Last Exchange (UTC)  Exchanges
Angry Village                        2018-01-04 09:08:53  2021-01-19 00:42:24     1948
Animal Bridge                        2018-02-20 07:06:35  2021-01-09 14:02:14     1272
Apprentice Huts                      2024-08-29 04:03:32  2026-02-26 21:14:17     3338
Arachnid Route                       2021-01-21 16:11:07  2024-08-26 00:49:11     2272
Arachnid Woods                       2024-08-30 04:04:33  2026-02-26 04:51:46     2304
Arachnida Cave                       2018-01-04 00:26:49  2021-01-19 21:15:00      601
Astraulus' Tower                     2018-02-08 22:06:41  2026-02-23 05:00:08     3065
Ava's Workshop                       2024-08-27 09:34:00  2026-02-26 16:55:33     2019
Avos Temple                          2018-02-01 23:47:03  2026-02-26 16:34:03     6915
Avos Territory                       2024-08-26 10:21:08  2026-02-26 16:47:40     1831
Avos Workshop                        2021-01-23 10:13:08  2024-08-26 03:19:54     2779
Azure Frontier                       2021-01-21 01:58:49  2026-02-26 09:04:42    12841
Balloon Airbase                      2024-08-26 09:41:13  2026-02-26 16:24:55     3297
Bandit Camp Exit                     2018-01-08 15:53:22  2024-08-26 01:58:47     2223
Bandit Cave                          2024-08-30 22:12:04  2026-02-27 02:18:41      685
Bandit Cave Lower                    2018-01-16 21:58:30  2024-08-26 02:55:25     2237
Bandit Cave Upper                    2018-01-08 18:28:11  2024-08-26 02:53:58     8580
Bandit's Toll                        2024-08-30 22:33:35  2026-02-27 01:44:37      919
Bandits Toll                         2018-01-04 05:21:07  2024-08-26 00:58:09     3645
Banshees Cave                        2018-01-13 13:22:47  2021-01-18 18:10:39      822
Bantisu Air Temple                   2024-08-30 22:45:45  2026-02-27 01:37:30      660
Bantisu Approach                     2024-08-30 22:42:25  2026-02-27 01:38:59      933
Barren Sands                         2024-08-30 11:10:45  2026-02-27 02:47:04     2212
Battle Tower                         2018-01-11 02:04:41  2021-01-20 18:43:01    10419
Bear Zoo                             2024-08-27 11:10:04  2026-02-23 20:00:11      948
Big Mushroom Cave                    2024-08-30 01:46:33  2026-02-27 03:09:08    10774
Bizarre Passage                      2019-12-20 16:49:14  2026-02-25 21:19:51     7839
Black Camp                           2018-01-20 05:19:48  2021-01-19 18:40:35      763
Black Magic                          2018-01-04 00:17:22  2021-01-19 13:05:09      533
Black Road                           2024-08-26 12:47:32  2026-02-27 01:23:34     1632
Blackstring Den                      2024-08-29 00:49:38  2026-02-27 01:18:27     1742
Bloody Beach                         2018-02-01 23:59:56  2026-02-26 16:22:35     7166
Bloody Trail                         2024-08-28 10:29:48  2026-02-25 20:23:52     1269
Blooming Boulders                    2024-08-29 00:44:10  2026-02-23 20:40:10     1567
Bob's Tomb                           2018-01-06 12:37:52  2026-02-27 02:28:41    14837
Bremminglar                          2018-01-03 23:21:01  2026-02-27 03:50:40     6814
Brigand Outpost                      2024-08-28 00:18:26  2026-02-24 22:00:02      987
Broken Road                          2024-08-26 12:30:32  2026-02-26 01:43:22     1119
Bucie North East                     2018-01-07 15:00:32  2021-01-16 23:35:39      589
Bucie North West                     2018-01-07 14:28:53  2021-01-17 00:15:11      603
Bucie South East                     2018-01-08 01:46:51  2021-01-16 23:50:38      667
Bucie South West                     2018-01-08 16:30:55  2021-01-17 00:15:23      622
Bucie Waterfall                      2024-08-27 23:16:49  2026-02-27 01:49:46     1271
Burning Airship                      2018-01-07 23:41:29  2026-02-27 02:08:52    10426
Burning Farm                         2018-01-09 03:18:54  2026-02-27 03:17:46    30729
Canyon Dropoff                       2018-01-17 16:51:28  2026-02-27 01:55:01     2885
Canyon Entrance Waterfall            2018-01-16 22:56:11  2024-08-26 02:51:08     1953
Canyon Fortress                      2018-01-07 19:21:10  2024-08-26 02:05:50     2054
Canyon High Path                     2018-02-02 16:59:11  2026-02-27 02:12:02     3163
Canyon Lower South East              2018-01-19 03:23:47  2024-08-26 02:12:46     2346
Canyon Mountain East                 2018-01-07 16:59:55  2024-08-26 01:20:50     1667
Canyon Mountain South                2018-01-16 23:43:47  2024-08-26 01:55:38     1394
Canyon Of The Lost                   2018-01-07 17:35:18  2024-08-26 01:49:15     2725
Canyon Path North Mid                2018-01-08 18:47:41  2024-08-26 02:03:10     2359
Canyon Path North West               2018-01-19 04:43:30  2024-08-26 02:43:11     1896
Canyon Path South East               2018-01-19 17:30:23  2024-08-26 02:45:13     2083
Canyon Path South West               2018-01-19 04:25:20  2024-08-26 02:35:17     2115
Canyon Survivor                      2018-01-07 18:47:39  2024-08-26 02:11:40     2560
Canyon Upper North West              2018-01-19 02:51:04  2024-08-26 02:38:25     2210
Canyon Valley South                  2018-01-07 15:23:51  2024-08-26 01:57:56     2301
Canyon Walk Way                      2018-01-07 15:40:13  2024-08-26 00:52:24     2497
Canyon Walkway                       2024-08-26 09:00:27  2026-02-27 01:39:21     1395
Canyon Waterfall Mid North           2018-01-17 01:57:31  2024-08-26 02:01:36     1961
Canyon Waterfall North               2018-01-19 17:48:20  2024-08-26 02:47:56     6671
Caritat Mansion                      2024-08-28 10:43:00  2026-02-25 19:19:43     1084
Cascading Basins                     2024-08-30 22:13:37  2026-02-27 02:05:13      670
Cascading Oasis                      2024-08-27 10:10:44  2026-02-27 02:47:02     2132
Castle Dullahan                      2024-08-27 14:58:08  2026-02-26 01:43:03      780
Cathedral Harbour                    2018-01-24 05:43:38  2026-02-27 03:47:55     7656
Celestial Impact                     2024-08-30 01:49:42  2026-02-26 20:47:30     1169
Centerworld Fortress                 2024-08-28 10:54:19  2026-02-26 02:55:07     1282
Central Islands                      2018-02-01 23:46:32  2026-02-27 03:24:36     2569
Chained House                        2018-01-06 16:04:21  2024-08-26 02:18:02     2542
Chasm Chokepoint                     2024-08-30 14:57:06  2026-02-24 00:40:09     1290
Chasm Overlook                       2024-08-30 14:53:58  2026-02-24 00:30:04     5121
Cherry Blossom Forest                2018-01-20 06:47:20  2024-08-26 02:19:30     3263
Cherry Blossom Grove                 2024-08-30 22:54:11  2026-02-27 01:23:12      840
Cinfras                              2018-01-03 20:49:59  2026-02-24 16:10:08    21519
Cinfras County Lower                 2018-01-20 02:33:18  2024-08-25 23:35:57    24524
Cinfras County Mid-Lower             2018-01-20 00:23:01  2024-08-25 02:05:38    13606
Cinfras County Mid-Upper             2018-01-20 00:08:41  2024-08-25 02:05:59    11175
Cinfras County Upper                 2018-01-20 02:47:42  2024-08-22 12:34:08     4302
Cinfras Entrance                     2018-01-03 20:39:58  2024-08-26 03:30:41     7718
Cinfras Outskirts                    2018-02-08 22:15:35  2026-02-24 16:20:08     4824
Cinfras Thanos Transition            2018-01-07 18:28:36  2024-08-26 03:01:08     8803
Cinfras's Small Farm                 2021-01-21 05:03:37  2026-02-26 20:39:48    14292
Cinfras’s Small Farm                 2018-01-20 01:37:08  2021-01-13 15:16:35     1316
City of Troms                        2018-01-05 07:56:32  2024-08-26 01:04:20     8104
Cliff Side of the Lost               2018-01-07 17:15:07  2024-08-26 01:54:42     1943
Cliffhearth Orc Camp                 2024-08-28 00:32:25  2026-02-25 20:04:52     1198
Cliffside Lake                       2018-01-19 18:32:48  2024-08-26 01:45:32     2495
Cliffside Passage                    2018-01-19 18:51:40  2024-08-26 01:40:23     1609
Cliffside Passage North              2018-01-18 20:02:57  2026-02-27 01:31:22     2502
Cliffside Passage South              2024-08-30 13:17:56  2026-02-27 01:32:32      722
Cliffside Valley                     2018-01-16 01:49:00  2024-08-26 01:13:38     2889
Cliffside Waterfall                  2018-01-04 23:36:10  2024-08-26 01:08:05     2061
Coastal Trail                        2018-01-09 00:55:08  2026-02-26 17:50:25     5152
Collapsed Bridge                     2024-08-29 11:50:27  2026-02-27 03:32:20    11540
Collapsed Emerald Mine               2024-08-28 00:05:34  2026-02-25 20:00:47     1103
Colourful Mountaintop                2024-08-30 21:39:10  2026-02-22 23:40:05      809
Corkus Abandoned Tower               2018-02-08 15:24:16  2021-01-18 10:48:33     1659
Corkus Castle                        2018-02-17 06:08:06  2026-02-26 13:13:08     7909
Corkus City                          2018-01-07 14:29:58  2026-02-25 11:05:46    10575
Corkus City Crossroads               2024-08-26 09:19:08  2026-02-25 10:47:16     3542
Corkus City Mine                     2018-02-19 23:23:28  2026-02-26 16:22:28     7325
Corkus City South                    2018-02-10 08:06:56  2024-08-26 01:37:06     5520
Corkus Countryside                   2018-02-09 01:01:36  2024-08-26 03:26:02     6381
Corkus Docks                         2018-02-14 05:17:16  2024-08-25 23:57:16     2918
Corkus Forest                        2024-08-26 10:15:36  2026-02-25 10:52:02     3555
Corkus Forest North                  2018-02-08 16:19:21  2024-08-25 03:16:19     6003
Corkus Forest South                  2018-01-30 02:19:59  2024-08-26 03:43:48     6133
Corkus Mountain                      2018-02-08 15:41:33  2024-08-26 03:08:55     4478
Corkus Outskirts                     2018-02-01 16:48:28  2026-02-26 16:32:04     7658
Corkus Sea Cove                      2018-10-30 01:57:35  2026-02-26 21:56:07    11015
Corkus Sea Port                      2018-01-07 15:03:50  2024-08-25 22:15:18     5117
Corkus Statue                        2021-01-23 09:19:21  2024-08-25 16:38:40     2180
Corrupted Hand                       2018-01-16 10:48:18  2021-01-20 18:15:59      565
Corrupted Impact                     2018-01-06 15:49:25  2021-01-19 17:10:04      786
Corrupted Orchard                    2024-08-27 14:12:18  2026-02-27 03:50:46     1954
Corrupted River                      2024-08-26 13:26:00  2026-02-23 20:40:10     1571
Corrupted Road                       2018-01-03 21:09:00  2026-02-27 03:18:48     5751
Corrupted Tower                      2024-08-27 14:15:19  2026-02-27 01:14:29     1526
Corrupted Village                    2018-01-20 01:14:25  2021-01-18 19:16:47      985
Corrupted Warfront                   2024-08-26 12:46:21  2026-02-27 03:22:13     1637
Cosmic Fissures                      2024-08-30 01:58:56  2026-02-22 19:00:01     1322
Crater Descent                       2018-01-05 13:12:23  2026-02-27 02:26:46    11314
Cyclospordial Hazard                 2024-08-30 22:16:47  2026-02-27 02:10:25      808
Dark Forest Cinfras Transition       2018-01-20 01:17:48  2024-08-26 03:25:33     3763
Dark Forest Village                  2018-01-03 21:55:08  2026-02-24 16:20:08     5813
Dead Island North East               2018-01-16 23:42:41  2024-08-26 01:55:47     1695
Dead Island North West               2018-01-16 23:26:09  2024-08-26 01:49:51     1604
Dead Island South East               2018-01-16 23:59:47  2024-08-26 01:40:31     1738
Dead Island South West               2018-01-16 23:05:34  2024-08-26 01:44:31     2027
Decayed Basin                        2021-01-24 03:29:44  2026-02-26 19:57:16     2405
Delnar Manor                         2024-08-29 04:25:25  2026-02-27 03:37:19     5079
Derelict Mansion                     2024-08-26 13:44:32  2026-02-26 13:44:36      391
Dernal Jungle Lower                  2018-01-28 13:50:02  2021-01-09 16:40:02     1075
Dernal Jungle Mid                    2018-01-04 14:17:12  2021-01-09 16:47:40     1096
Dernal Jungle Upper                  2018-01-11 03:12:57  2021-01-09 16:57:37      989
Dernel Jungle Lower                  2021-01-23 03:10:43  2024-08-26 01:13:48    12098
Dernel Jungle Mid                    2021-01-23 03:19:33  2024-08-26 01:31:59    10893
Dernel Jungle Upper                  2021-01-23 16:30:19  2024-08-26 01:26:04    10911
Desert East Lower                    2018-01-06 19:20:50  2024-08-26 03:43:05     7714
Desert East Mid                      2018-01-06 17:37:53  2024-08-26 03:46:26     6815
Desert East Upper                    2018-01-06 17:20:16  2024-08-26 03:58:52     5168
Desert Lower                         2018-01-04 21:04:32  2024-08-26 03:32:17     7954
Desert Mid-Lower                     2018-02-03 17:21:00  2024-08-26 03:57:55     7088
Desert Mid-Upper                     2018-01-04 22:29:46  2024-08-26 01:25:51     8222
Desert Upper                         2018-01-19 21:11:12  2024-08-26 03:49:24     6936
Desert West Lower                    2018-02-03 16:36:14  2024-08-26 04:00:50     8372
Desert West Upper                    2018-02-03 18:02:35  2024-08-26 03:52:02     6667
Desolate Valley                      2021-01-21 12:12:25  2026-02-23 20:50:06     3349
Detlas                               2018-01-04 03:01:49  2026-02-24 17:00:03    43665
Detlas Close Suburbs                 2018-01-04 11:22:32  2024-08-26 02:21:12    10374
Detlas Far Suburbs                   2018-01-04 12:50:48  2024-08-26 00:57:03     6991
Detlas Savannah Transition           2018-01-04 11:03:40  2024-08-26 02:25:34     9067
Detlas Suburbs                       2018-01-04 04:40:11  2026-02-27 03:49:15    10269
Detlas Trail East Plains             2018-02-02 08:37:43  2024-08-26 02:21:39     6927
Detlas Trail West Plains             2018-02-20 14:48:26  2024-08-26 02:45:39     5108
Displaced Housing                    2024-08-30 22:55:53  2026-02-27 01:28:42      858
Disturbed Crypt                      2024-08-26 13:50:57  2026-02-26 13:40:10      394
Dodegar's Forge                      2024-08-26 16:05:13  2026-02-27 03:29:41    13374
Dogun Ritual Site                    2024-08-30 22:56:12  2026-02-27 02:23:49     1514
Dragonbone Graveyard                 2024-08-30 23:00:59  2026-02-27 02:39:08     1482
Dragonling Nests                     2018-02-01 23:49:51  2026-02-23 05:00:08     3536
Dreary Docks                         2024-08-26 13:47:50  2026-02-26 13:36:27      438
Dujgon Nation                        2018-01-17 22:14:15  2026-02-27 03:48:12     2371
Durum Barley Islet                   2024-08-29 11:36:04  2026-02-27 03:42:34      728
Durum Isles Barn                     2024-09-09 12:13:22  2026-02-24 07:40:47      445
Durum Isles Center                   2018-01-06 17:25:17  2024-09-01 23:09:17     1853
Durum Isles East                     2018-01-11 16:47:50  2024-08-26 01:04:48     1504
Durum Isles Lower                    2018-01-06 17:52:47  2024-08-26 00:28:41     1669
Durum Isles Upper                    2018-01-07 16:18:49  2024-08-26 04:07:57     1414
Durum Malt Islet                     2024-08-28 09:03:44  2026-02-24 07:30:18      533
Durum Oat Islet                      2024-08-26 09:36:32  2026-02-25 14:15:33      438
Dusty Pit                            2024-08-27 13:53:53  2026-02-27 02:35:11     2034
Eagle Tribe                          2024-08-30 21:35:51  2026-02-27 02:49:53     2831
Efelim East Plains                   2018-01-04 23:51:31  2021-01-20 20:21:10      680
Efelim South East Plains             2018-01-04 13:12:23  2021-01-20 13:46:09      866
Efelim South Plains                  2018-01-04 09:59:56  2021-01-18 20:55:22      771
Efelim Village                       2018-01-04 09:06:38  2021-01-20 20:32:51      940
Efilim                               2024-08-29 13:00:00  2026-02-26 03:10:40     1486
Efilim Crossroads                    2024-08-29 12:56:03  2026-02-26 03:08:13     1479
Efilim East Plains                   2021-01-21 10:11:48  2024-08-26 02:52:36     3148
Efilim South East Plains             2021-01-21 10:00:20  2024-08-26 02:51:21     2465
Efilim South Plains                  2021-01-21 04:56:20  2024-08-26 02:58:07     3642
Efilim Village                       2021-01-21 10:33:04  2024-08-26 02:59:14     2482
Elefolk Stomping Grounds             2024-08-30 22:24:42  2026-02-27 01:50:04      867
Elephelk Trail                       2024-08-30 22:29:57  2026-02-27 01:33:39      892
Elkurn                               2018-01-06 17:51:41  2026-02-23 20:40:10     7900
Elkurn Fields                        2018-01-06 18:14:20  2024-08-26 01:20:22     3667
Eltom                                2018-01-06 15:00:26  2026-02-27 01:08:54     4570
Emerald Trail                        2018-01-04 10:00:31  2026-02-27 03:47:31    19293
Enchanted River                      2024-08-28 10:49:59  2026-02-25 19:28:00     1022
Entamis Village                      2024-08-29 04:28:55  2026-02-27 03:49:05     5813
Entrance to Almuj                    2024-08-27 13:43:43  2026-02-27 03:49:18     2182
Entrance to Bucie                    2024-08-27 18:17:46  2026-02-27 01:54:28     1780
Entrance to Cinfras                  2024-08-29 12:58:33  2026-02-24 00:10:05     1792
Entrance to Gavel                    2024-08-28 00:47:29  2026-02-25 20:05:04      866
Entrance to Kander                   2021-01-22 12:49:10  2026-02-26 20:43:19     3365
Entrance to Molten Heights           2024-08-30 22:45:44  2026-02-27 01:05:16      956
Entrance to Nivla Woods              2024-08-26 23:50:00  2026-02-26 05:04:01     2283
Entrance to Olux                     2018-01-07 18:06:59  2026-02-26 16:18:06     4830
Entrance to Rodoroc                  2018-01-05 14:12:02  2024-08-26 01:13:38     3669
Entrance to Thesead                  2024-08-29 10:50:13  2026-02-27 01:20:39      883
Entrance to Thesead North            2018-01-15 16:35:20  2024-08-26 01:28:20     2554
Entrance to Thesead South            2018-01-05 18:45:53  2024-08-26 01:33:03     2649
Essren's Hut                         2024-08-26 12:40:55  2026-02-27 01:21:14     2466
Evergreen Outbreak                   2024-08-30 21:14:15  2026-02-27 03:16:27    10059
Factory Entrance                     2018-01-04 03:49:30  2024-08-26 04:01:29    12147
Fading Forest                        2024-08-28 10:22:36  2026-02-25 19:06:50     1122
Fallen Factory                       2018-01-17 01:09:32  2026-02-25 11:11:52     8371
Fallen Village                       2021-02-02 08:19:56  2026-02-24 16:10:08     4102
Faltach Manor                        2024-08-28 11:01:59  2026-02-26 20:50:31     1196
Farmers Settlement                   2024-08-30 04:33:45  2026-02-27 03:25:33     2396
Farmers Valley                       2018-01-18 05:21:10  2021-01-14 21:58:48     1925
Featherfall Cliffs                   2024-08-30 22:23:15  2026-02-27 01:51:17      763
Felroc Fields                        2024-08-30 01:47:56  2026-02-22 22:20:06     1395
Field of Life                        2021-01-22 09:15:48  2026-02-27 00:41:57    24436
Final Step                           2021-01-21 10:12:19  2026-02-25 21:14:34     4457
Fleris Cranny                        2024-08-30 22:26:53  2026-02-27 02:00:33      789
Fleris Trail                         2018-10-30 01:31:39  2026-02-26 02:47:49     2302
Floral Peaks                         2024-08-28 00:00:19  2026-02-25 19:02:20     1350
Florist's Hut                        2024-08-26 13:33:16  2026-02-27 01:30:58     1846
Forest of Eyes                       2019-12-20 16:49:33  2026-02-26 21:53:19    15166
Forgotten Burrows                    2024-08-27 23:50:13  2026-02-26 01:51:13     1456
Forgotten Path                       2021-01-21 02:19:27  2026-02-25 20:27:46     4118
Forgotten Town                       2019-12-20 16:47:43  2026-02-26 01:35:31    13408
Fortress North                       2018-01-04 01:33:42  2024-08-26 02:17:16     2650
Fortress South                       2018-01-03 21:23:58  2024-08-26 02:20:19     2525
Founder's Statue                     2024-08-26 10:10:28  2026-02-26 16:56:51     1893
Fountain of Youth                    2024-08-29 04:30:51  2026-02-27 03:51:36     5529
Freezing Heights                     2024-08-30 22:59:26  2026-02-27 02:25:21     1443
Frigid Crossroads                    2024-08-26 13:42:29  2026-02-27 02:03:45     1640
Frosty Spikes                        2024-08-26 14:03:17  2026-02-27 01:37:40     1981
Frozen Fort                          2018-02-01 23:47:37  2026-02-25 12:32:47     4162
Frozen Homestead                     2024-08-26 14:05:08  2026-02-27 01:47:44     1766
Fungal Grove                         2021-01-23 12:37:05  2026-02-24 16:20:08     4210
Gateway to Nothing                   2019-12-20 16:48:02  2026-02-25 21:12:03    10676
Gelibord                             2018-01-04 03:52:48  2026-02-26 20:57:40     4513
Gelibord Castle                      2018-01-04 04:14:24  2024-08-26 03:51:24     1880
Gelibord Corrupted Farm              2018-01-04 00:30:06  2024-08-26 03:50:08     2177
Gelibord Watermill                   2024-08-28 11:10:10  2026-02-26 01:41:25     1017
Gert Camp                            2018-01-20 03:06:18  2026-02-26 19:53:16     4069
Ghostly Path                         2018-01-19 05:02:22  2024-08-25 23:48:15    21448
Gloopy Cave                          2024-08-28 03:14:56  2026-02-27 02:33:42     2705
Goblin Plains East                   2021-01-21 02:14:49  2026-02-25 20:28:56     3092
Goblin Plains West                   2021-01-21 03:08:54  2026-02-25 20:32:22     3218
Graveyard North                      2018-01-04 08:28:52  2021-01-19 17:32:03      663
Graveyard South                      2018-01-03 23:37:06  2021-01-19 17:22:43      650
Gray Zone                            2019-12-20 16:49:49  2021-01-20 20:04:42     6288
Great Bridge                         2024-08-26 13:45:51  2026-02-27 02:09:51     1790
Great Bridge Jungle                  2018-01-06 13:23:48  2024-08-26 00:47:13    13247
Great Bridge Nesaak                  2018-01-06 15:09:22  2024-08-26 01:02:54     5051
Green Camp                           2018-01-03 21:46:46  2021-01-19 18:52:16      633
Grey Ruins                           2021-01-21 09:19:24  2026-02-26 01:40:31     3511
Gromblins Hideout                    2018-01-04 09:54:23  2021-01-18 20:06:52      800
Guardian of the Forest               2024-08-29 11:33:47  2026-02-27 03:33:24     9021
Guild Hall                           2018-01-04 11:55:16  2026-02-26 20:44:43    12654
Gylia Fisherman Camp                 2024-08-30 01:53:07  2026-02-26 20:50:38     1269
Gylia Lake North East                2018-01-20 00:43:25  2024-08-24 07:20:06     4388
Gylia Lake North West                2018-01-18 22:39:00  2024-08-24 07:12:43     3262
Gylia Lake South East                2018-01-20 00:54:01  2024-08-24 04:32:20     4711
Gylia Lake South West                2018-01-20 00:15:51  2024-08-24 07:21:15     3463
Gylia Lakehouse                      2024-08-30 10:50:42  2026-02-23 00:10:02     1202
Gylia Research Cabin                 2024-08-30 10:46:48  2026-02-22 18:50:10     1238
Gylia Watchtower                     2024-08-30 11:03:47  2026-02-23 00:00:01     1230
Half Moon Island                     2018-01-06 23:18:59  2026-02-25 14:13:46     2171
Harnort Compound                     2024-08-27 23:21:48  2026-02-24 01:10:03      737
Harpy's Haunt North                  2024-08-30 22:21:13  2026-02-27 01:58:25      691
Harpy's Haunt South                  2024-08-30 22:25:21  2026-02-27 01:59:28      739
Heart of Decay                       2021-02-02 08:18:09  2026-02-26 19:58:29     1944
Heavenly Ingress                     2021-01-22 02:12:47  2026-02-27 03:45:27    32832
Herb Cave                            2018-03-26 18:57:37  2026-02-27 03:47:51    36973
Hive                                 2018-01-05 03:55:02  2024-08-26 01:26:08    21186
Hive South                           2018-02-02 19:39:35  2024-08-26 02:15:48     2071
Hobbit River                         2018-01-04 16:01:39  2024-08-26 04:01:37     3342
Hobgoblin's Hoard                    2024-08-30 22:30:03  2026-02-27 01:48:44      780
Housing Crisis                       2024-08-30 22:21:25  2026-02-27 01:56:42      748
Iboju Village                        2024-08-29 04:21:55  2026-02-27 03:39:57     5179
Icy Descent                          2018-02-01 23:43:07  2026-02-27 01:55:47     8510
Icy Island                           2018-04-27 23:45:50  2026-02-27 03:48:03     2226
Icy Vigil                            2024-08-26 13:44:22  2026-02-27 01:51:46     1822
Illuminant Path                      2024-08-30 22:34:04  2026-02-27 01:35:25     1413
Imperial Gate                        2018-10-30 01:29:00  2021-01-20 20:31:48     1984
Industrial Clearing                  2024-08-26 09:58:02  2026-02-26 16:44:51     2793
Infested Sinkhole                    2024-08-27 23:48:39  2026-02-26 02:14:20     1093
Inhospitable Mountain                2024-08-30 22:02:05  2026-02-27 02:12:59      700
Invaded Barracks                     2024-08-28 16:18:55  2026-02-27 02:48:06     1545
Iron Road                            2021-01-21 07:53:37  2026-02-25 20:30:33     2797
Jagged Foothills                     2024-08-30 04:16:17  2026-02-27 01:27:25     1611
Jitak's Farm                         2021-01-24 03:07:56  2026-02-26 19:52:28     3152
Jitak’s Farm                         2018-01-20 00:36:49  2021-01-14 20:23:27     1294
Jofash Docks                         2018-02-01 23:49:53  2026-02-21 07:20:04     1530
Jofash Tunnel                        2018-02-01 23:48:47  2026-02-21 07:20:04     1964
Jungle Entrance                      2024-08-29 04:02:13  2026-02-27 03:32:19     6264
Jungle Lake                          2018-01-05 03:36:01  2024-08-26 00:35:39    24162
Jungle Lower                         2018-01-05 13:52:06  2024-08-26 00:42:56    16262
Jungle Mid                           2018-01-05 09:30:02  2024-08-26 00:39:22    12303
Jungle Upper                         2018-01-05 03:58:10  2024-08-26 00:41:43    14787
Kander Mines                         2021-01-21 07:43:15  2026-02-26 20:27:05     3791
Kandon Farm                          2018-01-19 19:08:46  2026-02-25 12:59:07     4307
Kandon Ridge                         2018-02-01 23:50:28  2026-02-25 12:33:04     4729
Kandon-Beda                          2018-01-13 05:31:22  2026-02-27 01:36:12     3818
Karoc Quarry                         2024-08-27 23:20:23  2026-02-25 20:37:52     1250
Katoa Ranch                          2018-01-05 16:58:22  2026-02-26 17:33:37     7029
Kitrios Armory                       2024-08-30 21:45:40  2026-02-23 00:20:03     1096
Kitrios Barracks                     2024-08-30 21:44:18  2026-02-23 00:10:02      976
Krolton's Cave                       2021-02-02 09:29:44  2026-02-27 01:42:32     2349
Krolton’s Cave                       2018-01-08 15:06:50  2021-01-16 18:45:30      438
Lava Lake                            2018-01-03 21:08:26  2024-08-26 00:30:12    33329
Lava Lake Bridge                     2018-01-05 12:52:00  2024-08-26 01:02:09    13432
Lava Lakes                           2024-08-30 22:51:20  2026-02-27 02:20:19     1403
Lava Springs                         2024-08-26 12:52:30  2026-02-27 03:47:08     1564
Leadin Fortress                      2018-01-31 02:51:36  2024-08-26 02:29:26     1911
